target,selection,crossbreed,mutation,prob,survival,generations,MSE,triangles,population_size,time
.\test_images\emoji.png,elite,one-point,uniform,0.01,exclusive,2000,11314.6025,5,10,22.4828
.\test_images\emoji.png,elite,one-point,single,0.01,additive,2000,3609.1943,5,10,22.5909
.\test_images\emoji.png,elite,one-point,single,0.01,exclusive,2000,10225.5479,5,10,25.7581
.\test_images\emoji.png,elite,one-point,single,0.1,exclusive,2000,9540.9092,5,10,26.2675
.\test_images\emoji.png,elite,one-point,uniform,0.01,additive,2000,2258.9312,5,10,26.6253
.\test_images\emoji.png,elite,one-point,single,0.5,additive,2000,2011.3884,5,10,26.5130
.\test_images\emoji.png,elite,one-point,single,0.5,exclusive,2000,11534.0732,5,10,26.6209
.\test_images\emoji.png,elite,one-point,single,0.01,exclusive,2000,11106.9551,5,20,26.5879
.\test_images\emoji.png,elite,one-point,single,0.5,exclusive,2000,12497.1211,5,20,26.7057
.\test_images\emoji.png,elite,one-point,single,0.1,additive,2000,2116.0215,5,10,27.0714
.\test_images\emoji.png,elite,one-point,single,0.01,additive,2000,3219.9336,5,20,28.5295
.\test_images\emoji.png,elite,one-point,single,0.1,exclusive,2000,13887.0332,5,20,28.5213
.\test_images\emoji.png,elite,one-point,single,0.5,additive,2000,2056.3557,5,20,28.8133
.\test_images\emoji.png,elite,one-point,single,0.1,additive,2000,2218.5615,5,20,28.7706
.\test_images\emoji.png,elite,one-point,single,0.1,exclusive,2000,10952.5010,5,30,28.9923
.\test_images\emoji.png,elite,one-point,single,0.01,additive,2000,2479.8250,5,30,29.1916
.\test_images\emoji.png,elite,one-point,single,0.1,additive,2000,2172.5068,5,30,29.1541
.\test_images\emoji.png,elite,one-point,single,0.01,exclusive,2000,11526.6406,5,30,29.8548
.\test_images\emoji.png,elite,one-point,uniform,0.01,additive,2000,2187.5583,5,20,29.9449
.\test_images\emoji.png,elite,one-point,single,0.5,exclusive,2000,10125.0557,5,30,30.8882
.\test_images\emoji.png,elite,one-point,single,0.5,additive,2000,1892.6034,5,30,31.6779
.\test_images\emoji.png,elite,one-point,uniform,0.01,additive,2000,1900.4232,5,30,34.7247
.\test_images\emoji.png,elite,one-point,uniform,0.01,exclusive,2000,10167.1211,5,20,29.6350
.\test_images\emoji.png,elite,one-point,uniform,0.1,additive,2000,1983.7505,5,10,27.6902
.\test_images\emoji.png,elite,one-point,uniform,0.01,exclusive,2000,11981.1162,5,30,31.8044
.\test_images\emoji.png,elite,ring,single,0.01,additive,2000,3767.8904,5,10,26.0901
.\test_images\emoji.png,elite,one-point,uniform,0.5,additive,2000,2310.0430,5,10,29.4283
.\test_images\emoji.png,elite,ring,single,0.01,exclusive,2000,9379.3945,5,10,26.5706
.\test_images\emoji.png,elite,ring,single,0.01,additive,2000,2485.5425,5,20,27.8766
.\test_images\emoji.png,elite,one-point,uniform,0.1,exclusive,2000,12238.3252,5,10,30.3256
.\test_images\emoji.png,elite,ring,single,0.01,exclusive,2000,11105.2090,5,20,27.7392
.\test_images\emoji.png,elite,one-point,uniform,0.5,exclusive,2000,11069.6680,5,10,29.5977
.\test_images\emoji.png,elite,ring,single,0.1,additive,2000,2304.5786,5,10,26.5428
.\test_images\emoji.png,elite,one-point,uniform,0.1,exclusive,2000,9620.7188,5,20,33.4426
.\test_images\emoji.png,elite,ring,single,0.01,exclusive,2000,6981.6533,5,30,29.2799
.\test_images\emoji.png,elite,one-point,uniform,0.1,additive,2000,2167.3574,5,20,34.4731
.\test_images\emoji.png,elite,one-point,uniform,0.5,additive,2000,2370.1887,5,20,33.6231
.\test_images\emoji.png,elite,ring,single,0.1,additive,2000,2187.9197,5,20,26.1534
.\test_images\emoji.png,elite,one-point,uniform,0.5,exclusive,2000,8403.1455,5,20,33.6001
.\test_images\emoji.png,elite,one-point,uniform,0.1,exclusive,2000,11914.5010,5,30,35.8161
.\test_images\emoji.png,elite,ring,single,0.01,additive,2000,2402.0774,5,30,33.5469
.\test_images\emoji.png,elite,one-point,uniform,0.1,additive,2000,2030.8823,5,30,37.8715
.\test_images\emoji.png,elite,one-point,uniform,0.5,exclusive,2000,10116.9795,5,30,37.1409
.\test_images\emoji.png,elite,one-point,uniform,0.5,additive,2000,2248.9734,5,30,38.3047
.\test_images\emoji.png,elite,ring,single,0.1,exclusive,2000,13013.5342,5,10,20.8614
.\test_images\emoji.png,elite,ring,single,0.1,exclusive,2000,11465.8604,5,20,22.6593
.\test_images\emoji.png,elite,ring,single,0.5,additive,2000,2249.6506,5,10,21.2164
.\test_images\emoji.png,elite,ring,single,0.1,additive,2000,2205.3413,5,30,26.5928
.\test_images\emoji.png,elite,ring,single,0.5,exclusive,2000,9793.9873,5,10,22.1348
.\test_images\emoji.png,elite,ring,single,0.1,exclusive,2000,10168.9941,5,30,26.8517
.\test_images\emoji.png,elite,ring,uniform,0.01,additive,2000,1995.7654,5,10,24.4200
.\test_images\emoji.png,elite,ring,uniform,0.01,exclusive,2000,12565.7256,5,10,21.9119
.\test_images\emoji.png,elite,ring,single,0.5,additive,2000,2106.8074,5,20,26.8007
.\test_images\emoji.png,elite,ring,single,0.5,exclusive,2000,10289.9736,5,20,25.9918
.\test_images\emoji.png,elite,ring,uniform,0.1,exclusive,2000,10295.9980,5,10,21.8659
.\test_images\emoji.png,elite,ring,single,0.5,additive,2000,2143.1538,5,30,29.4724
.\test_images\emoji.png,elite,ring,uniform,0.01,exclusive,2000,12057.6982,5,20,26.2017
.\test_images\emoji.png,elite,ring,uniform,0.01,additive,2000,2098.6433,5,20,27.5991
